Iteration 0/50000  Rate: -0.7469 bit   loss = 0.7469
Iteration 18700/50000  Rate: 0.9835 bit   loss = -0.9835
Iteration 18800/50000  Rate: 0.5939 bit   loss = -0.5939
Iteration 18900/50000  Rate: 0.9989 bit   loss = -0.9989
Iteration 19000/50000  Rate: 0.9797 bit   loss = -0.9797
Iteration 19100/50000  Rate: 0.3346 bit   loss = -0.3346
Iteration 19200/50000  Rate: 0.7287 bit   loss = -0.7287
Iteration 19300/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 19400/50000  Rate: 0.9979 bit   loss = -0.9979
Iteration 19500/50000  Rate: 0.9986 bit   loss = -0.9986
Iteration 19600/50000  Rate: 0.9954 bit   loss = -0.9954
Iteration 19700/50000  Rate: 0.9994 bit   loss = -0.9994
Iteration 19800/50000  Rate: 0.3381 bit   loss = -0.3381
Iteration 19900/50000  Rate: 0.9994 bit   loss = -0.9994
Iteration 20000/50000  Rate: 0.5911 bit   loss = -0.5911
Iteration 20100/50000  Rate: 0.9993 bit   loss = -0.9993
Iteration 20200/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 20300/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 20400/50000  Rate: 0.4083 bit   loss = -0.4083
Iteration 20500/50000  Rate: 0.7362 bit   loss = -0.7362
Iteration 20600/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 20700/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 20800/50000  Rate: 0.9980 bit   loss = -0.9980
Iteration 20900/50000  Rate: 0.8410 bit   loss = -0.8410
Iteration 21000/50000  Rate: 0.6950 bit   loss = -0.6950
Iteration 21100/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 21200/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 21300/50000  Rate: 0.9948 bit   loss = -0.9948
Iteration 21400/50000  Rate: 0.9396 bit   loss = -0.9396
Iteration 21500/50000  Rate: 0.9994 bit   loss = -0.9994
Iteration 21600/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 21700/50000  Rate: 0.3143 bit   loss = -0.3143
Iteration 21800/50000  Rate: 0.9927 bit   loss = -0.9927
Iteration 21900/50000  Rate: 0.9997 bit   loss = -0.9997
Iteration 22000/50000  Rate: 0.9109 bit   loss = -0.9109
Iteration 22100/50000  Rate: 0.5378 bit   loss = -0.5378
Iteration 22200/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 22300/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 22400/50000  Rate: 0.9994 bit   loss = -0.9994
Iteration 22500/50000  Rate: 0.9796 bit   loss = -0.9796
Iteration 22600/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 22700/50000  Rate: 0.9622 bit   loss = -0.9622
Iteration 22800/50000  Rate: 0.8620 bit   loss = -0.8620
Iteration 22900/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 23000/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 23100/50000  Rate: 0.5534 bit   loss = -0.5534
Iteration 23200/50000  Rate: 0.9996 bit   loss = -0.9996
Iteration 23300/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 23400/50000  Rate: 0.9969 bit   loss = -0.9969
Iteration 23500/50000  Rate: 0.9970 bit   loss = -0.9970
Iteration 23600/50000  Rate: 0.9993 bit   loss = -0.9993
Iteration 23700/50000  Rate: 0.9672 bit   loss = -0.9672
Iteration 23800/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 23900/50000  Rate: 0.9727 bit   loss = -0.9727
Iteration 24000/50000  Rate: 0.9936 bit   loss = -0.9936
Iteration 24100/50000  Rate: 0.9986 bit   loss = -0.9986
Iteration 24200/50000  Rate: 0.8253 bit   loss = -0.8253
Iteration 24300/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 24400/50000  Rate: 0.9905 bit   loss = -0.9905
Iteration 24500/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 24600/50000  Rate: 0.5518 bit   loss = -0.5518
Iteration 24700/50000  Rate: 0.5096 bit   loss = -0.5096
Iteration 24800/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 24900/50000  Rate: 0.9972 bit   loss = -0.9972
Iteration 25000/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 25100/50000  Rate: 0.3202 bit   loss = -0.3202
Iteration 25200/50000  Rate: 0.5293 bit   loss = -0.5293
Iteration 25300/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 25400/50000  Rate: 0.9640 bit   loss = -0.9640
Iteration 25500/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 25600/50000  Rate: 0.9190 bit   loss = -0.9190
Iteration 25700/50000  Rate: 0.9923 bit   loss = -0.9923
Iteration 25800/50000  Rate: 0.6900 bit   loss = -0.6900
Iteration 25900/50000  Rate: 0.8136 bit   loss = -0.8136
Iteration 26000/50000  Rate: -0.2251 bit   loss = 0.2251
Iteration 26100/50000  Rate: 0.9929 bit   loss = -0.9929
Iteration 26200/50000  Rate: 0.9933 bit   loss = -0.9933
Iteration 26300/50000  Rate: 0.9812 bit   loss = -0.9812
Iteration 26400/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 26500/50000  Rate: 0.9774 bit   loss = -0.9774
Iteration 26600/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 26700/50000  Rate: 0.9957 bit   loss = -0.9957
Iteration 26800/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 26900/50000  Rate: 0.9991 bit   loss = -0.9991
Iteration 27000/50000  Rate: 0.9880 bit   loss = -0.9880
Iteration 27100/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 27200/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 27300/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 27400/50000  Rate: 0.9927 bit   loss = -0.9927
Iteration 27500/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 27600/50000  Rate: 0.9998 bit   loss = -0.9998
