Iteration 0/50000  Rate: -0.3441 bit   loss = 0.3441
Iteration 23700/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 23800/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 23900/50000  Rate: 0.9996 bit   loss = -0.9996
Iteration 24000/50000  Rate: 0.9995 bit   loss = -0.9995
Iteration 24100/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 24200/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 24300/50000  Rate: 0.8387 bit   loss = -0.8387
Iteration 24400/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 24500/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 24600/50000  Rate: 0.9565 bit   loss = -0.9565
Iteration 24700/50000  Rate: 0.8024 bit   loss = -0.8024
Iteration 24800/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 24900/50000  Rate: 0.9913 bit   loss = -0.9913
Iteration 25000/50000  Rate: 0.6028 bit   loss = -0.6028
Iteration 25100/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 25200/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 25300/50000  Rate: 0.4456 bit   loss = -0.4456
Iteration 25400/50000  Rate: 0.9957 bit   loss = -0.9957
Iteration 25500/50000  Rate: 0.9931 bit   loss = -0.9931
Iteration 25600/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 25700/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 25800/50000  Rate: 0.6584 bit   loss = -0.6584
Iteration 25900/50000  Rate: 0.9988 bit   loss = -0.9988
Iteration 26000/50000  Rate: 0.8785 bit   loss = -0.8785
Iteration 26100/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 26200/50000  Rate: 0.4611 bit   loss = -0.4611
Iteration 26300/50000  Rate: 0.9965 bit   loss = -0.9965
Iteration 26400/50000  Rate: 0.9997 bit   loss = -0.9997
Iteration 26500/50000  Rate: 0.9997 bit   loss = -0.9997
Iteration 26600/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 26700/50000  Rate: 0.8871 bit   loss = -0.8871
Iteration 26800/50000  Rate: 0.9405 bit   loss = -0.9405
Iteration 26900/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 27000/50000  Rate: 0.9997 bit   loss = -0.9997
Iteration 27100/50000  Rate: 0.9964 bit   loss = -0.9964
Iteration 27200/50000  Rate: 0.9990 bit   loss = -0.9990
Iteration 27300/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 27400/50000  Rate: 0.9931 bit   loss = -0.9931
Iteration 27500/50000  Rate: 0.9988 bit   loss = -0.9988
Iteration 27600/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 27700/50000  Rate: 0.9537 bit   loss = -0.9537
Iteration 27800/50000  Rate: 0.9108 bit   loss = -0.9108
Iteration 27900/50000  Rate: 0.7124 bit   loss = -0.7124
Iteration 28000/50000  Rate: 0.5670 bit   loss = -0.5670
Iteration 28100/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 28200/50000  Rate: 0.9926 bit   loss = -0.9926
Iteration 28300/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 28400/50000  Rate: 0.4802 bit   loss = -0.4802
Iteration 28500/50000  Rate: 0.3718 bit   loss = -0.3718
Iteration 28600/50000  Rate: 0.9631 bit   loss = -0.9631
Iteration 28700/50000  Rate: 0.9988 bit   loss = -0.9988
Iteration 28800/50000  Rate: 0.9989 bit   loss = -0.9989
Iteration 28900/50000  Rate: 0.9954 bit   loss = -0.9954
Iteration 29000/50000  Rate: 0.8435 bit   loss = -0.8435
Iteration 29100/50000  Rate: 0.6979 bit   loss = -0.6979
Iteration 29200/50000  Rate: 0.9962 bit   loss = -0.9962
Iteration 29300/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 29400/50000  Rate: 0.9966 bit   loss = -0.9966
Iteration 29500/50000  Rate: 0.4118 bit   loss = -0.4118
Iteration 29600/50000  Rate: 0.9599 bit   loss = -0.9599
Iteration 29700/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 29800/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 29900/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 30000/50000  Rate: 0.3239 bit   loss = -0.3239
Iteration 30100/50000  Rate: 0.8669 bit   loss = -0.8669
Iteration 30200/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 30300/50000  Rate: 0.9995 bit   loss = -0.9995
Iteration 30400/50000  Rate: 0.3836 bit   loss = -0.3836
Iteration 30500/50000  Rate: 0.9441 bit   loss = -0.9441
Iteration 30600/50000  Rate: 0.9937 bit   loss = -0.9937
Iteration 30700/50000  Rate: 0.9992 bit   loss = -0.9992
Iteration 30800/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 30900/50000  Rate: 0.9995 bit   loss = -0.9995
Iteration 31000/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 31100/50000  Rate: 0.5061 bit   loss = -0.5061
Iteration 31200/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 31300/50000  Rate: 0.9028 bit   loss = -0.9028
Iteration 31400/50000  Rate: 0.7158 bit   loss = -0.7158
Iteration 31500/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 31600/50000  Rate: 0.8237 bit   loss = -0.8237
Iteration 31700/50000  Rate: 0.8833 bit   loss = -0.8833
Iteration 31800/50000  Rate: 0.4304 bit   loss = -0.4304
Iteration 31900/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 32000/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 32100/50000  Rate: 0.3733 bit   loss = -0.3733
Iteration 32200/50000  Rate: 0.9946 bit   loss = -0.9946
Iteration 32300/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 32400/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 32500/50000  Rate: 0.9933 bit   loss = -0.9933
Iteration 32600/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 32700/50000  Rate: 0.9837 bit   loss = -0.9837
Iteration 32800/50000  Rate: 0.9689 bit   loss = -0.9689
Iteration 32900/50000  Rate: 0.6367 bit   loss = -0.6367
Iteration 33000/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 33100/50000  Rate: 0.5943 bit   loss = -0.5943
Iteration 33200/50000  Rate: 0.9960 bit   loss = -0.9960
Iteration 33300/50000  Rate: 0.9980 bit   loss = -0.9980
Iteration 33400/50000  Rate: 0.8293 bit   loss = -0.8293
Iteration 33500/50000  Rate: 0.3124 bit   loss = -0.3124
Iteration 33600/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 33700/50000  Rate: 0.7688 bit   loss = -0.7688
Iteration 33800/50000  Rate: 0.5945 bit   loss = -0.5945
Iteration 33900/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 34000/50000  Rate: 0.9997 bit   loss = -0.9997
Iteration 34100/50000  Rate: 0.6643 bit   loss = -0.6643
Iteration 34200/50000  Rate: 0.5725 bit   loss = -0.5725
Iteration 34300/50000  Rate: 0.6366 bit   loss = -0.6366
Iteration 34400/50000  Rate: 0.9767 bit   loss = -0.9767
Iteration 34500/50000  Rate: 0.8783 bit   loss = -0.8783
Iteration 34600/50000  Rate: 0.9997 bit   loss = -0.9997
Iteration 34700/50000  Rate: 0.9995 bit   loss = -0.9995
Iteration 34800/50000  Rate: 0.9994 bit   loss = -0.9994
Iteration 34900/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 35000/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 35100/50000  Rate: 0.3872 bit   loss = -0.3872
Iteration 35200/50000  Rate: 0.9593 bit   loss = -0.9593
Iteration 35300/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 35400/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 35500/50000  Rate: 0.9555 bit   loss = -0.9555
Iteration 35600/50000  Rate: 0.9841 bit   loss = -0.9841
Iteration 35700/50000  Rate: 0.3313 bit   loss = -0.3313
Iteration 35800/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 35900/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 36000/50000  Rate: 0.9117 bit   loss = -0.9117
Iteration 36100/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 36200/50000  Rate: 0.2916 bit   loss = -0.2916
Iteration 36300/50000  Rate: 0.8947 bit   loss = -0.8947
Iteration 36400/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 36500/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 36600/50000  Rate: 0.6410 bit   loss = -0.6410
Iteration 36700/50000  Rate: 0.8304 bit   loss = -0.8304
Iteration 36800/50000  Rate: 0.6929 bit   loss = -0.6929
Iteration 36900/50000  Rate: 0.9988 bit   loss = -0.9988
Iteration 37000/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 37100/50000  Rate: 0.9907 bit   loss = -0.9907
Iteration 37200/50000  Rate: 0.6959 bit   loss = -0.6959
Iteration 37300/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 37400/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 37500/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 37600/50000  Rate: 0.9972 bit   loss = -0.9972
Iteration 37700/50000  Rate: 0.8121 bit   loss = -0.8121
Iteration 37800/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 37900/50000  Rate: 0.9951 bit   loss = -0.9951
Iteration 38000/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 38100/50000  Rate: 0.4919 bit   loss = -0.4919
Iteration 38200/50000  Rate: 0.7678 bit   loss = -0.7678
Iteration 38300/50000  Rate: 0.7089 bit   loss = -0.7089
Iteration 38400/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 38500/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 38600/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 38700/50000  Rate: 0.9995 bit   loss = -0.9995
Iteration 38800/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 38900/50000  Rate: 0.7789 bit   loss = -0.7789
Iteration 39000/50000  Rate: 0.5626 bit   loss = -0.5626
Iteration 39100/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 39200/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 39300/50000  Rate: 0.9687 bit   loss = -0.9687
Iteration 39400/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 39500/50000  Rate: 0.5808 bit   loss = -0.5808
Iteration 39600/50000  Rate: 0.9986 bit   loss = -0.9986
Iteration 39700/50000  Rate: 0.8455 bit   loss = -0.8455
Iteration 39800/50000  Rate: 0.9611 bit   loss = -0.9611
Iteration 39900/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 40000/50000  Rate: 0.9301 bit   loss = -0.9301
Iteration 40100/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 40200/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 40300/50000  Rate: 0.3191 bit   loss = -0.3191
Iteration 40400/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 40500/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 40600/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 40700/50000  Rate: 0.2610 bit   loss = -0.2610
Iteration 40800/50000  Rate: 0.6970 bit   loss = -0.6970
Iteration 40900/50000  Rate: 0.9984 bit   loss = -0.9984
Iteration 41000/50000  Rate: 0.9037 bit   loss = -0.9037
Iteration 41100/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 41200/50000  Rate: 0.9827 bit   loss = -0.9827
Iteration 41300/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 41400/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 41500/50000  Rate: 0.9243 bit   loss = -0.9243
Iteration 41600/50000  Rate: 0.9661 bit   loss = -0.9661
Iteration 41700/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 41800/50000  Rate: 0.3822 bit   loss = -0.3822
Iteration 41900/50000  Rate: 0.9997 bit   loss = -0.9997
Iteration 42000/50000  Rate: 0.4591 bit   loss = -0.4591
Iteration 42100/50000  Rate: 0.3862 bit   loss = -0.3862
