Iteration 0/50000  Rate: -0.4401 bit   loss = 0.4401
Iteration 23100/50000  Rate: 0.5511 bit   loss = -0.5511
Iteration 23200/50000  Rate: 0.6644 bit   loss = -0.6644
Iteration 23300/50000  Rate: 0.6379 bit   loss = -0.6379
Iteration 23400/50000  Rate: 0.3400 bit   loss = -0.3400
Iteration 23500/50000  Rate: 0.4158 bit   loss = -0.4158
Iteration 23600/50000  Rate: 0.4243 bit   loss = -0.4243
Iteration 23700/50000  Rate: 0.6294 bit   loss = -0.6294
Iteration 23800/50000  Rate: 0.8038 bit   loss = -0.8038
Iteration 23900/50000  Rate: 0.2484 bit   loss = -0.2484
Iteration 24000/50000  Rate: 0.2820 bit   loss = -0.2820
Iteration 24100/50000  Rate: 0.2675 bit   loss = -0.2675
Iteration 24200/50000  Rate: 0.4700 bit   loss = -0.4700
Iteration 24300/50000  Rate: 0.7071 bit   loss = -0.7071
Iteration 24400/50000  Rate: 0.3497 bit   loss = -0.3497
Iteration 24500/50000  Rate: 0.2387 bit   loss = -0.2387
Iteration 24600/50000  Rate: 0.4022 bit   loss = -0.4022
Iteration 24700/50000  Rate: 0.2802 bit   loss = -0.2802
Iteration 24800/50000  Rate: 0.5258 bit   loss = -0.5258
Iteration 24900/50000  Rate: 0.6940 bit   loss = -0.6940
Iteration 25000/50000  Rate: 0.2615 bit   loss = -0.2615
Iteration 25100/50000  Rate: 0.3465 bit   loss = -0.3465
Iteration 25200/50000  Rate: 0.6431 bit   loss = -0.6431
Iteration 25300/50000  Rate: 0.3311 bit   loss = -0.3311
Iteration 25400/50000  Rate: 0.2195 bit   loss = -0.2195
Iteration 25500/50000  Rate: 0.8394 bit   loss = -0.8394
Iteration 25600/50000  Rate: 0.6276 bit   loss = -0.6276
Iteration 25700/50000  Rate: 0.3924 bit   loss = -0.3924
Iteration 25800/50000  Rate: 0.8073 bit   loss = -0.8073
Iteration 25900/50000  Rate: 0.5166 bit   loss = -0.5166
Iteration 26000/50000  Rate: 0.3914 bit   loss = -0.3914
Iteration 26100/50000  Rate: 0.6546 bit   loss = -0.6546
Iteration 26200/50000  Rate: 0.4428 bit   loss = -0.4428
Iteration 26300/50000  Rate: 0.5506 bit   loss = -0.5506
Iteration 26400/50000  Rate: 0.6418 bit   loss = -0.6418
Iteration 26500/50000  Rate: 0.6055 bit   loss = -0.6055
Iteration 26600/50000  Rate: 0.8541 bit   loss = -0.8541
Iteration 26700/50000  Rate: 0.6292 bit   loss = -0.6292
Iteration 26800/50000  Rate: 0.7599 bit   loss = -0.7599
Iteration 26900/50000  Rate: 0.5375 bit   loss = -0.5375
Iteration 27000/50000  Rate: 0.5228 bit   loss = -0.5228
Iteration 27100/50000  Rate: 0.7835 bit   loss = -0.7835
Iteration 27200/50000  Rate: 0.7271 bit   loss = -0.7271
Iteration 27300/50000  Rate: 0.5381 bit   loss = -0.5381
Iteration 27400/50000  Rate: 0.4966 bit   loss = -0.4966
Iteration 27500/50000  Rate: 0.6873 bit   loss = -0.6873
Iteration 27600/50000  Rate: 0.2736 bit   loss = -0.2736
Iteration 27700/50000  Rate: 0.7109 bit   loss = -0.7109
Iteration 27800/50000  Rate: 0.6955 bit   loss = -0.6955
Iteration 27900/50000  Rate: 0.6322 bit   loss = -0.6322
Iteration 28000/50000  Rate: 0.7991 bit   loss = -0.7991
Iteration 28100/50000  Rate: 0.3686 bit   loss = -0.3686
Iteration 28200/50000  Rate: 0.5608 bit   loss = -0.5608
Iteration 28300/50000  Rate: 0.7505 bit   loss = -0.7505
Iteration 28400/50000  Rate: 0.4193 bit   loss = -0.4193
Iteration 28500/50000  Rate: 0.3684 bit   loss = -0.3684
Iteration 28600/50000  Rate: 0.7910 bit   loss = -0.7910
Iteration 28700/50000  Rate: 0.7406 bit   loss = -0.7406
Iteration 28800/50000  Rate: 0.3989 bit   loss = -0.3989
Iteration 28900/50000  Rate: 0.7565 bit   loss = -0.7565
Iteration 29000/50000  Rate: 0.8433 bit   loss = -0.8433
Iteration 29100/50000  Rate: 0.3293 bit   loss = -0.3293
Iteration 29200/50000  Rate: 0.7497 bit   loss = -0.7497
Iteration 29300/50000  Rate: 0.2383 bit   loss = -0.2383
Iteration 29400/50000  Rate: 0.8258 bit   loss = -0.8258
Iteration 29500/50000  Rate: 0.7842 bit   loss = -0.7842
Iteration 29600/50000  Rate: 0.3518 bit   loss = -0.3518
Iteration 29700/50000  Rate: 0.4086 bit   loss = -0.4086
Iteration 29800/50000  Rate: 0.4012 bit   loss = -0.4012
Iteration 29900/50000  Rate: 0.4480 bit   loss = -0.4480
Iteration 30000/50000  Rate: 0.5566 bit   loss = -0.5566
Iteration 30100/50000  Rate: 0.3710 bit   loss = -0.3710
Iteration 30200/50000  Rate: 0.6674 bit   loss = -0.6674
Iteration 30300/50000  Rate: 0.2616 bit   loss = -0.2616
Iteration 30400/50000  Rate: 0.5700 bit   loss = -0.5700
Iteration 30500/50000  Rate: 0.8119 bit   loss = -0.8119
Iteration 30600/50000  Rate: 0.7765 bit   loss = -0.7765
Iteration 30700/50000  Rate: 0.4304 bit   loss = -0.4304
Iteration 30800/50000  Rate: 0.7250 bit   loss = -0.7250
Iteration 30900/50000  Rate: 0.5573 bit   loss = -0.5573
Iteration 31000/50000  Rate: 0.6997 bit   loss = -0.6997
Iteration 31100/50000  Rate: 0.6015 bit   loss = -0.6015
Iteration 31200/50000  Rate: 0.8149 bit   loss = -0.8149
Iteration 31300/50000  Rate: 0.3428 bit   loss = -0.3428
Iteration 31400/50000  Rate: 0.6779 bit   loss = -0.6779
Iteration 31500/50000  Rate: 0.7212 bit   loss = -0.7212
Iteration 31600/50000  Rate: 0.4944 bit   loss = -0.4944
Iteration 31700/50000  Rate: 0.7387 bit   loss = -0.7387
Iteration 31800/50000  Rate: 0.8210 bit   loss = -0.8210
Iteration 31900/50000  Rate: 0.3793 bit   loss = -0.3793
Iteration 32000/50000  Rate: 0.2186 bit   loss = -0.2186
Iteration 32100/50000  Rate: 0.6182 bit   loss = -0.6182
Iteration 32200/50000  Rate: 0.5752 bit   loss = -0.5752
Iteration 32300/50000  Rate: 0.7662 bit   loss = -0.7662
Iteration 32400/50000  Rate: 0.7974 bit   loss = -0.7974
Iteration 32500/50000  Rate: 0.5750 bit   loss = -0.5750
Iteration 32600/50000  Rate: 0.4076 bit   loss = -0.4076
Iteration 32700/50000  Rate: 0.7457 bit   loss = -0.7457
Iteration 32800/50000  Rate: 0.4830 bit   loss = -0.4830
Iteration 32900/50000  Rate: 0.2408 bit   loss = -0.2408
Iteration 33000/50000  Rate: 0.7897 bit   loss = -0.7897
Iteration 33100/50000  Rate: 0.2343 bit   loss = -0.2343
Iteration 33200/50000  Rate: 0.5925 bit   loss = -0.5925
Iteration 33300/50000  Rate: 0.8452 bit   loss = -0.8452
Iteration 33400/50000  Rate: 0.8247 bit   loss = -0.8247
Iteration 33500/50000  Rate: 0.6815 bit   loss = -0.6815
Iteration 33600/50000  Rate: 0.6837 bit   loss = -0.6837
Iteration 33700/50000  Rate: 0.6166 bit   loss = -0.6166
Iteration 33800/50000  Rate: 0.4033 bit   loss = -0.4033
Iteration 33900/50000  Rate: 0.6223 bit   loss = -0.6223
Iteration 34000/50000  Rate: 0.6118 bit   loss = -0.6118
Iteration 34100/50000  Rate: 0.5590 bit   loss = -0.5590
Iteration 34200/50000  Rate: 0.3696 bit   loss = -0.3696
Iteration 34300/50000  Rate: 0.3115 bit   loss = -0.3115
Iteration 34400/50000  Rate: 0.6664 bit   loss = -0.6664
Iteration 34500/50000  Rate: 0.5596 bit   loss = -0.5596
Iteration 34600/50000  Rate: 0.8030 bit   loss = -0.8030
Iteration 34700/50000  Rate: 0.3812 bit   loss = -0.3812
Iteration 34800/50000  Rate: 0.2356 bit   loss = -0.2356
Iteration 34900/50000  Rate: 0.5523 bit   loss = -0.5523
Iteration 35000/50000  Rate: 0.4692 bit   loss = -0.4692
Iteration 35100/50000  Rate: 0.8474 bit   loss = -0.8474
Iteration 35200/50000  Rate: 0.8340 bit   loss = -0.8340
Iteration 35300/50000  Rate: 0.2677 bit   loss = -0.2677
Iteration 35400/50000  Rate: 0.5347 bit   loss = -0.5347
Iteration 35500/50000  Rate: 0.6183 bit   loss = -0.6183
Iteration 35600/50000  Rate: 0.2494 bit   loss = -0.2494
Iteration 35700/50000  Rate: 0.7145 bit   loss = -0.7145
Iteration 35800/50000  Rate: 0.4277 bit   loss = -0.4277
Iteration 35900/50000  Rate: 0.3865 bit   loss = -0.3865
Iteration 36000/50000  Rate: 0.8415 bit   loss = -0.8415
Iteration 36100/50000  Rate: 0.8253 bit   loss = -0.8253
Iteration 36200/50000  Rate: 0.8703 bit   loss = -0.8703
Iteration 36300/50000  Rate: 0.7973 bit   loss = -0.7973
Iteration 36400/50000  Rate: 0.7504 bit   loss = -0.7504
Iteration 36500/50000  Rate: 0.7414 bit   loss = -0.7414
Iteration 36600/50000  Rate: 0.6693 bit   loss = -0.6693
Iteration 36700/50000  Rate: 0.6923 bit   loss = -0.6923
Iteration 36800/50000  Rate: 0.6232 bit   loss = -0.6232
Iteration 36900/50000  Rate: 0.5912 bit   loss = -0.5912
Iteration 37000/50000  Rate: 0.6343 bit   loss = -0.6343
Iteration 37100/50000  Rate: 0.6415 bit   loss = -0.6415
Iteration 37200/50000  Rate: 0.2843 bit   loss = -0.2843
Iteration 37300/50000  Rate: 0.3780 bit   loss = -0.3780
Iteration 37400/50000  Rate: 0.8073 bit   loss = -0.8073
Iteration 37500/50000  Rate: 0.6588 bit   loss = -0.6588
Iteration 37600/50000  Rate: 0.2270 bit   loss = -0.2270
Iteration 37700/50000  Rate: 0.3896 bit   loss = -0.3896
Iteration 37800/50000  Rate: 0.4595 bit   loss = -0.4595
Iteration 37900/50000  Rate: 0.3404 bit   loss = -0.3404
Iteration 38000/50000  Rate: 0.8456 bit   loss = -0.8456
Iteration 38100/50000  Rate: 0.8371 bit   loss = -0.8371
Iteration 38200/50000  Rate: 0.4514 bit   loss = -0.4514
Iteration 38300/50000  Rate: 0.8311 bit   loss = -0.8311
Iteration 38400/50000  Rate: 0.8521 bit   loss = -0.8521
Iteration 38500/50000  Rate: 0.7466 bit   loss = -0.7466
Iteration 38600/50000  Rate: 0.8400 bit   loss = -0.8400
Iteration 38700/50000  Rate: 0.8506 bit   loss = -0.8506
Iteration 38800/50000  Rate: 0.7827 bit   loss = -0.7827
Iteration 38900/50000  Rate: 0.4999 bit   loss = -0.4999
Iteration 39000/50000  Rate: 0.6408 bit   loss = -0.6408
Iteration 39100/50000  Rate: 0.6675 bit   loss = -0.6675
Iteration 39200/50000  Rate: 0.5907 bit   loss = -0.5907
Iteration 39300/50000  Rate: 0.2907 bit   loss = -0.2907
Iteration 39400/50000  Rate: 0.2873 bit   loss = -0.2873
Iteration 39500/50000  Rate: 0.5747 bit   loss = -0.5747
Iteration 39600/50000  Rate: 0.5988 bit   loss = -0.5988
Iteration 39700/50000  Rate: 0.8554 bit   loss = -0.8554
Iteration 39800/50000  Rate: 0.7221 bit   loss = -0.7221
Iteration 39900/50000  Rate: 0.6009 bit   loss = -0.6009
Iteration 40000/50000  Rate: 0.6480 bit   loss = -0.6480
Iteration 40100/50000  Rate: 0.7249 bit   loss = -0.7249
Iteration 40200/50000  Rate: 0.7582 bit   loss = -0.7582
Iteration 40300/50000  Rate: 0.3470 bit   loss = -0.3470
Iteration 40400/50000  Rate: 0.8570 bit   loss = -0.8570
Iteration 40500/50000  Rate: 0.3478 bit   loss = -0.3478
Iteration 40600/50000  Rate: 0.3578 bit   loss = -0.3578
Iteration 40700/50000  Rate: 0.7134 bit   loss = -0.7134
Iteration 40800/50000  Rate: 0.4185 bit   loss = -0.4185
Iteration 40900/50000  Rate: 0.2213 bit   loss = -0.2213
Iteration 41000/50000  Rate: 0.4877 bit   loss = -0.4877
Iteration 41100/50000  Rate: 0.2166 bit   loss = -0.2166
Iteration 41200/50000  Rate: 0.7309 bit   loss = -0.7309
Iteration 41300/50000  Rate: 0.3340 bit   loss = -0.3340
Iteration 41400/50000  Rate: 0.4452 bit   loss = -0.4452
