Iteration 40600/50000  Rate: 0.8501 bit
Iteration 40700/50000  Rate: 0.8251 bit
Iteration 40800/50000  Rate: 0.6993 bit
Iteration 40900/50000  Rate: 0.6231 bit
Iteration 41000/50000  Rate: 0.7231 bit
Iteration 41100/50000  Rate: 0.6501 bit
Iteration 41200/50000  Rate: 0.3806 bit
Iteration 41300/50000  Rate: 0.6044 bit
Iteration 41400/50000  Rate: 0.7000 bit
Iteration 41500/50000  Rate: 0.4801 bit
Iteration 41600/50000  Rate: 0.6598 bit
Iteration 41700/50000  Rate: 0.8372 bit
Iteration 41800/50000  Rate: 0.7195 bit
Iteration 41900/50000  Rate: 0.3204 bit
Iteration 42000/50000  Rate: 0.8275 bit
Iteration 42100/50000  Rate: 0.3858 bit
Iteration 42200/50000  Rate: 0.7392 bit
Iteration 42300/50000  Rate: 0.5855 bit
Iteration 42400/50000  Rate: 0.3824 bit
Iteration 42500/50000  Rate: 0.3464 bit
Iteration 42600/50000  Rate: 0.7487 bit
Iteration 42700/50000  Rate: 0.5904 bit
Iteration 42800/50000  Rate: 0.5635 bit
Iteration 42900/50000  Rate: 0.2899 bit
Iteration 43000/50000  Rate: 0.6683 bit
Iteration 43100/50000  Rate: 0.4689 bit
Iteration 43200/50000  Rate: 0.5049 bit
Iteration 43300/50000  Rate: 0.7585 bit
Iteration 43400/50000  Rate: 0.5404 bit
Iteration 43500/50000  Rate: 0.2978 bit
Iteration 43600/50000  Rate: 0.4705 bit
Iteration 43700/50000  Rate: 0.3224 bit
Iteration 43800/50000  Rate: 0.3038 bit
Iteration 43900/50000  Rate: 0.2679 bit
Iteration 44000/50000  Rate: 0.3014 bit
Iteration 44100/50000  Rate: 0.6569 bit
Iteration 44200/50000  Rate: 0.7973 bit
Iteration 44300/50000  Rate: 0.4493 bit
Iteration 44400/50000  Rate: 0.2478 bit
Iteration 44500/50000  Rate: 0.3072 bit
Iteration 44600/50000  Rate: 0.3478 bit
Iteration 44700/50000  Rate: 0.7510 bit
Iteration 44800/50000  Rate: 0.2962 bit
Iteration 44900/50000  Rate: 0.3113 bit
Iteration 45000/50000  Rate: 0.2430 bit
Iteration 45100/50000  Rate: 0.8638 bit
Iteration 45200/50000  Rate: 0.3324 bit
Iteration 45300/50000  Rate: 0.7232 bit
Iteration 45400/50000  Rate: 0.3460 bit
Iteration 45500/50000  Rate: 0.4864 bit
Iteration 45600/50000  Rate: 0.7654 bit
Iteration 45700/50000  Rate: 0.5796 bit
Iteration 45800/50000  Rate: 0.2174 bit
Iteration 45900/50000  Rate: 0.8258 bit
Iteration 46000/50000  Rate: 0.7604 bit
Iteration 46100/50000  Rate: 0.4378 bit
Iteration 46200/50000  Rate: 0.3716 bit
Iteration 46300/50000  Rate: 0.3466 bit
Iteration 46400/50000  Rate: 0.2507 bit
Iteration 46500/50000  Rate: 0.8164 bit
Iteration 46600/50000  Rate: 0.8450 bit
Iteration 46700/50000  Rate: 0.4053 bit
Iteration 46800/50000  Rate: 0.2395 bit
Iteration 46900/50000  Rate: 0.5207 bit
Iteration 47000/50000  Rate: 0.6717 bit
Iteration 47100/50000  Rate: 0.6867 bit
Iteration 47200/50000  Rate: 0.5838 bit
